Gene,Gene name,Main location,Other location,Expression type,Reliability,Main location GO id,Other location GO id,,Sort
ENSG00000000003,TSPAN6,Cytoplasm,,APE,Uncertain,GO:0005737,,,1
ENSG00000000457,SCYL3,Cytoskeleton (Microtubules),Nucleus but not nucleoli;Golgi apparatus,APE,Uncertain,GO:0015630,GO:0005654;GO:0005794,,2
ENSG00000000460,C1orf112,Nucleus but not nucleoli;Mitochondria,,APE,Uncertain,GO:0005654;GO:0005739,,,3
ENSG00000000938,FGR,Plasma membrane,Aggresome,APE,Uncertain,GO:0005886,GO:0016235,,4
ENSG00000001036,FUCA2,Nucleus but not nucleoli;Mitochondria,,APE,Uncertain,GO:0005654;GO:0005739,,,5
ENSG00000001084,GCLC,Nucleus;Nucleoli;Cytoplasm,,APE,Supportive,GO:0005634;GO:0005730;GO:0005737,,,6
ENSG00000001167,NFYA,Nucleus but not nucleoli,,APE,Supportive,GO:0005654,,,7
ENSG00000001460,STPG1,Nucleus,Nuclear membrane,APE,Supportive,GO:0005634,GO:0031965,,8
ENSG00000001461,NIPAL3,Nucleus but not nucleoli,,APE,Uncertain,GO:0005654,,,9
ENSG00000001497,LAS1L,Nucleus but not nucleoli,Cytoplasm;Microtubule organizing center,APE,Uncertain,GO:0005654,GO:0005737;GO:0005815,,10
ENSG00000001629,ANKIB1,Cytoplasm,Plasma membrane,APE,Supportive,GO:0005737,GO:0005886,,11
ENSG00000001630,CYP51A1,Endoplasmic reticulum,,APE,Supportive,GO:0005783,,,12
ENSG00000001631,KRIT1,Vesicles,,APE,Uncertain,GO:0043231,,,13
ENSG00000002016,RAD52,Nucleus but not nucleoli,Cytoplasm,APE,Supportive,GO:0005654,GO:0005737,,14
ENSG00000002330,BAD,Mitochondria,,APE,Supportive,GO:0005739,,,15
ENSG00000002549,LAP3,Cytoplasm,Nucleus but not nucleoli,APE,Supportive,GO:0005737,GO:0005654,,16
ENSG00000002586,CD99,Golgi apparatus,,APE,Uncertain,GO:0005794,,,17
ENSG00000002726,AOC1,,,APE,Uncertain,,,,18
ENSG00000002822,MAD1L1,Nucleus,Cytoplasm;Cytoskeleton (Actin filaments),APE,Supportive,GO:0005634,GO:0005737;GO:0015629,,19
ENSG00000002834,LASP1,Plasma membrane;Cytoplasm,Focal Adhesions,APE,Supportive,GO:0005886;GO:0005737,GO:0005925,,20
ENSG00000002933,TMEM176A,Mitochondria,,APE,Uncertain,GO:0005739,,,21
ENSG00000003137,CYP26B1,Cytoplasm,,APE,Uncertain,GO:0005737,,,22
ENSG00000003147,ICA1,Cytoplasm;Golgi apparatus,Nucleus but not nucleoli;Aggresome,APE,Supportive,GO:0005737;GO:0005794,GO:0005654;GO:0016235,,23
ENSG00000003249,DBNDD1,Nucleus,Cytoplasm,APE,Uncertain,GO:0005634,GO:0005737,,24
ENSG00000003393,ALS2,Cytoplasm;Cytoskeleton (Intermediate filaments),,APE,Uncertain,GO:0005737;GO:0045111,,,25
ENSG00000003400,CASP10,Golgi apparatus,Vesicles,APE,Uncertain,GO:0005794,GO:0043231,,26
ENSG00000003402,CFLAR,Nucleus;Plasma membrane;Cytoplasm,,APE,Supportive,GO:0005634;GO:0005886;GO:0005737,,,27
ENSG00000003436,TFPI,Cytoplasm,Cytoskeleton (Intermediate filaments),APE,Uncertain,GO:0005737,GO:0045111,,28
ENSG00000003756,RBM5,Nucleus but not nucleoli,,APE,Supportive,GO:0005654,,,29
ENSG00000004139,SARM1,Vesicles,,APE,Uncertain,GO:0043231,,,30
ENSG00000004468,CD38,Plasma membrane;Vesicles,,APE,Uncertain,GO:0005886;GO:0043231,,,31
ENSG00000004478,FKBP4,Cytoplasm,Nucleus but not nucleoli,APE,Supportive,GO:0005737,GO:0005654,,32
ENSG00000004487,KDM1A,Nucleus but not nucleoli,Cytoplasm,APE,Supportive,GO:0005654,GO:0005737,,33
ENSG00000004534,RBM6,Nucleus but not nucleoli,,APE,Supportive,GO:0005654,,,34
ENSG00000004660,CAMKK1,Cytoplasm,,APE,Supportive,GO:0005737,,,35
ENSG00000004700,RECQL,Nucleus but not nucleoli,,APE,Supportive,GO:0005654,,,36
ENSG00000004766,CCDC132,Cytoplasm,Plasma membrane,APE,Uncertain,GO:0005737,GO:0005886,,37
ENSG00000004777,ARHGAP33,Plasma membrane,Cytoplasm;Cytoskeleton (Actin filaments),APE,Uncertain,GO:0005886,GO:0005737;GO:0015629,,38
ENSG00000004838,ZMYND10,Plasma membrane;Cytoplasm,,APE,Uncertain,GO:0005886;GO:0005737,,,39
ENSG00000004864,SLC25A13,Mitochondria,,APE,Supportive,GO:0005739,,,40
ENSG00000004866,ST7,Nucleus but not nucleoli,Cytoplasm,APE,Supportive,GO:0005654,GO:0005737,,41
ENSG00000004897,CDC27,Nucleus but not nucleoli,,APE,Supportive,GO:0005654,,,42
ENSG00000004961,HCCS,Mitochondria,,APE,Supportive,GO:0005739,,,43
ENSG00000004975,DVL2,Nucleus but not nucleoli,,APE,Supportive,GO:0005654,,,44
ENSG00000005007,UPF1,Nucleus but not nucleoli,,APE,Supportive,GO:0005654,,,45
ENSG00000005020,SKAP2,Nucleus but not nucleoli,Cytoplasm,APE,Supportive,GO:0005654,GO:0005737,,46
ENSG00000005059,CCDC109B,Nucleus but not nucleoli;Cytoplasm,,APE,Uncertain,GO:0005654;GO:0005737,,,47
ENSG00000005100,DHX33,Nucleoli,,APE,Supportive,GO:0005730,,,48
ENSG00000005102,MEOX1,Nucleoli,Mitochondria,APE,Uncertain,GO:0005730,GO:0005739,,49
ENSG00000005156,LIG3,Nucleus,,APE,Supportive,GO:0005634,,,50
ENSG00000005175,RPAP3,Cytoplasm,,APE,Uncertain,GO:0005737,,,51
ENSG00000005189,AC004381.6,Nuclear membrane,Nucleoli;Cytoplasm,APE,Uncertain,GO:0031965,GO:0005730;GO:0005737,,52
ENSG00000005194,CIAPIN1,Nucleus but not nucleoli,Mitochondria,APE,Supportive,GO:0005654,GO:0005739,,53
ENSG00000005206,SPPL2B,Nucleus but not nucleoli;Plasma membrane,Centrosome,APE,Uncertain,GO:0005654;GO:0005886,GO:0005813,,54
ENSG00000005238,FAM214B,Nucleus;Nucleoli,,APE,Uncertain,GO:0005634;GO:0005730,,,55
ENSG00000005249,PRKAR2B,Centrosome,Cytoplasm;Mitochondria;Golgi apparatus,APE,Uncertain,GO:0005813,GO:0005737;GO:0005739;GO:0005794,,56
ENSG00000005302,MSL3,Nucleus,Nucleoli;Golgi apparatus,APE,Supportive,GO:0005634,GO:0005730;GO:0005794,,57
ENSG00000005339,CREBBP,Nucleus but not nucleoli,,APE,Supportive,GO:0005654,,,58
ENSG00000005379,BZRAP1,Nucleoli,Mitochondria,APE,Uncertain,GO:0005730,GO:0005739,,59
ENSG00000005448,WDR54,Cytoplasm;Vesicles,,APE,Uncertain,GO:0005737;GO:0043231,,,60
ENSG00000005469,CROT,Vesicles,,APE,Supportive,GO:0043231,,,61
ENSG00000005471,ABCB4,Nucleus but not nucleoli;Plasma membrane;Cytoskeleton (Actin filaments);Focal Adhesions,,APE,Uncertain,GO:0005654;GO:0005886;GO:0015629;GO:0005925,,,62
ENSG00000005483,KMT2E,Nucleus but not nucleoli;Vesicles,Cytoskeleton (Cytokinetic bridge),APE,Supportive,GO:0005654;GO:0043231,GO:0045171,,63
ENSG00000005513,SOX8,Nucleus,,APE,Supportive,GO:0005634,,,64
ENSG00000005700,IBTK,Nucleus but not nucleoli,,APE,Supportive,GO:0005654,,,65
ENSG00000005801,ZNF195,Nucleus,Cytoplasm,APE,Uncertain,GO:0005634,GO:0005737,,66
ENSG00000005810,MYCBP2,Cytoplasm,,APE,Uncertain,GO:0005737,,,67
ENSG00000005812,FBXL3,Nucleus,,APE,Supportive,GO:0005634,,,68
ENSG00000005882,PDK2,Nucleus but not nucleoli;Mitochondria,,APE,Supportive,GO:0005654;GO:0005739,,,69
ENSG00000005884,ITGA3,Plasma membrane,Golgi apparatus,APE,Supportive,GO:0005886,GO:0005794,,70
ENSG00000005893,LAMP2,Cytoskeleton (Intermediate filaments),,APE,Uncertain,GO:0045111,,,71
